Company: Barclays PLC (BARC), Announcement: Total Voting Rights, Movement: +2.92%
Company: Aberdeen New India (ANII), Announcement: Total Voting Rights, Movement: N/A
Company: Aberdeen New Thai IT (ANW), Announcement: Total Voting Rights, Movement: N/A
Company: Aberdeen Stand. Asia (AAS), Announcement: Total Voting Rights, Movement: N/A
Company: Aberforth Smaller Co (ASL), Announcement: Statement re Closed Period Update, Movement: N/A
Company: AberforthSplit Level (ASIT), Announcement: Statement re Closed Period Update, Movement: N/A
Company: Accesso Technology (ACSO), Announcement: Total Voting Rights, Movement: N/A
Company: ACIS CLO 2014-3 (IRSH), Announcement: Notice to Holders, Movement: N/A
Company: ACIS CLO 2014-4 (IRSH), Announcement: Notice to Holders, Movement: N/A
Company: ACIS CLO 2015-6 (IRSH), Announcement: Notice to Holders, Movement: N/A
Company: Acorn Income Fund (AIF), Announcement: Director Declaration, Movement: N/A
Company: Adage Capital Prtnrs, Announcement: Form 8.3 - Allergan plc, Movement: N/A
Company: ADES Intnl Holding (ADES), Announcement: Transaction in Own Shares, Movement: N/A
Company: Adnams PLC (ADB), Announcement: Director/PDMR Shareholding, Movement: N/A
Company: Adnams PLC (ADB), Announcement: Holding(s) in Company, Movement: N/A
Company: Ahold Delhaize, Announcement: Ahold Delhaize commences 2020 share buyback program, Movement: N/A
Company: AIM, Announcement: AIM Notice - 02/01/2020, Movement: N/A
Company: AIM, Announcement: Suspension - Attis Oil and Gas Ltd, Movement: N/A
Company: AIM, Announcement: Suspension - Nektan Plc, Movement: N/A
Company: AIM, Announcement: Suspension - KCR Residential REIT Plc, Movement: N/A
Company: AIM, Announcement: Suspension - Pantheon Resources plc, Movement: N/A
Company: AIM, Announcement: Suspension - Mobile Streams Plc, Movement: N/A
Company: AIM, Announcement: Cancellation - Amphion Innovations plc, Movement: N/A
Company: Alien Metals Limited (UFO), Announcement: Price Monitoring Extension, Movement: N/A
Company: Alliance Pharma PLC (APH), Announcement: NOTIFICATION OF MAJOR HOLDINGS, Movement: N/A
Company: Allied Minds (ALM), Announcement: Total Voting Rights, Movement: N/A
Company: Almea 2 Sg Portfolio, Announcement: AbbVie Inc. 38.5b, Movement: N/A
Company: Amiad Water Systems (AFS), Announcement: PDMR Exercise of Options, Issue of Equity and TVR, Movement: N/A
Company: Anglo African O&G (AAOG), Announcement: Revised Proposal from Jub Capital, Movement: N/A
Company: Anglo American PLC (AAL), Announcement: Total Voting Rights, Movement: N/A
Company: APG Asset Management, Announcement: Form 8.3 - Centamin PLC, Movement: N/A
Company: AQR Capital Mgmt, Announcement: Form 8.3 - ENDEAVOUR MINING CORPORATION, Movement: N/A
Company: Arden Partners plc (ARDN), Announcement: Form 8.5 (EPT/NON-RI), Movement: N/A
Company: Argo Blockchain PLC (ARB), Announcement: Second Price Monitoring Extn, Movement: N/A
Company: Argo Blockchain PLC (ARB), Announcement: Price Monitoring Extension, Movement: N/A
Company: Argo Blockchain PLC (ARB), Announcement: Board Appointment and New Hardware, Movement: N/A
Company: Ariana Resources PLC (AAU), Announcement: Director/PDMR Shareholding, Movement: N/A
Company: Arisaig Asia Cons Fd (IRSH), Announcement: Changes to Fees, Movement: N/A
Company: Ascential PLC (ASCL), Announcement: Total Voting Rights, Movement: N/A
Company: Ashtead Group PLC (AHT), Announcement: Cancellation of Treasury Shares, Movement: N/A
Company: Asia Dragon Trust (DGN), Announcement: Total Voting Rights, Movement: N/A
Company: Asia Dragon Trust (DGN), Announcement: Transaction in Own Shares, Movement: N/A
Company: ASM International NV, Announcement: ASM INTERNATIONAL RECEIVES SUPPLIER EXCELLENCE AWARD FROM TSMC, Movement: N/A
Company: ASOS PLC (ASC), Announcement: Total Voting Rights, Movement: N/A
Company: AstraZeneca PLC (AZN), Announcement: Total Voting Rights, Movement: N/A
Company: Atlas Mara Limited (ATMA), Announcement: Proposed Transaction Update and Notice of AGM, Movement: N/A
Company: Attis Oil and GasLtd (AOGL), Announcement: Statement re. Suspension, Movement: N/A
Company: Aurora Investment (ARR), Announcement: Total Voting Rights, Movement: N/A
Company: Auto Trader Grp (AUTO), Announcement: Total Voting Rights, Movement: N/A
Company: AVEVA Group PLC (AVV), Announcement: Total Voting Rights, Movement: N/A
Company: AVI Japan Opport.Tst (AJOT), Announcement: Total Voting Rights, Movement: N/A
Company: Aviva PLC (AV.), Announcement: Form 8.3 - Redx Pharma plc, Movement: N/A
Company: Avon Rubber PLC (AVON), Announcement: Holding(s) in Company, Movement: N/A
Company: Avon Rubber PLC (AVON), Announcement: Acquisition Update, Movement: N/A
Company: AXA Investment Managers SA, Announcement: Form 8.3 - AXA INVESTMENT MANAGERS: Redx Pharma PLC, Movement: N/A
Company: Axel Springer SE, Announcement: Release according to Article 40, Section 1 of the WpHG [the German Securities Trading Act] with the objective of Europe-wide distribution, Movement: N/A
Company: Baillie Gifford US (USA), Announcement: Total Voting Rights, Movement: N/A
Company: Bango PLC (BGO), Announcement: Total Voting Rights, Movement: N/A
Company: Bank of Georgia Grp (BGEO), Announcement: Director/PDMR Shareholding, Movement: N/A
Company: Bank of New York Mellon, Announcement: Early Repurchase(s), Movement: N/A
Company: Bank of Nova Scotia (0UKI), Announcement: Form 8.3 - Sophos Group plc, Movement: N/A
Company: Bank of Nova Scotia (0UKI), Announcement: Form 8.5 (EPT/NON-RI) - Centamin plc, Movement: N/A
Company: Bank of Nova Scotia (0UKI), Announcement: Form 8.3 - Sophos Group plc, Movement: N/A
Company: Bank of Nova Scotia (0UKI), Announcement: Form 8.3 - Sophos Group plc, Movement: N/A
Company: Bank of NY Mel Corp, Announcement: Form 8.3 - AbbVie Inc., Movement: N/A
Company: Bank of NY Mel Corp, Announcement: Form 8.3 - AbbVie Inc., Movement: N/A
Company: Bankers Investment (BNKR), Announcement: Issue of Equity, Movement: N/A
Company: Bankers Investment (BNKR), Announcement: Total Voting Rights, Movement: N/A
Company: BARCLAYS PLC (0QCV), Announcement: FORM 8.3 - ABBVIE PLC, Movement: N/A
Company: BARCLAYS PLC (0QCV), Announcement: FORM 8.3 - ABBVIE PLC, Movement: N/A
Company: BARCLAYS PLC (0RJE), Announcement: FORM 8.3 TAKEAWAY.COM NV, Movement: N/A
Company: BARCLAYS PLC (0RJE), Announcement: Form 8.3 - TAKEAWAY.COM NV, Movement: N/A
Company: BARCLAYS PLC (0Y7T), Announcement: FORM 8.3 - ALLERGAN PLC, Movement: N/A
Company: BARCLAYS PLC (0Y7T), Announcement: FORM 8.3 - ALLERGAN PLC, Movement: N/A
Company: BARCLAYS PLC (AMER), Announcement: FORM 8.3 - AMERISUR RESOURCES PLC, Movement: N/A
Company: BARCLAYS PLC (AMER), Announcement: Form 8.3 - AMERISUR RESOURCES PLC, Movement: N/A
Company: BARCLAYS PLC (COB), Announcement: Form 8.3 - COBHAM PLC, Movement: N/A
Company: BARCLAYS PLC (COB), Announcement: FORM 8.3 - COBHAM PLC, Movement: N/A
Company: BARCLAYS PLC (CSRT), Announcement: Form 8.3 - CONSORT MEDICAL PLC, Movement: N/A
Company: BARCLAYS PLC (CSRT), Announcement: FORM 8.3 - CONSORT MEDICAL PLC, Movement: N/A
Company: BARCLAYS PLC (CTR), Announcement: Form 8.3 - Charles Taylor plc, Movement: N/A
Company: BARCLAYS PLC (EIG), Announcement: FORM 8.5 (EPT/NON-RI) - EI GROUP PLC, Movement: N/A
Company: BARCLAYS PLC (EIGÂ), Announcement: FORM 8.5 (EPT/NON-RI) - REDDE PLC, Movement: N/A
Company: BARCLAYS PLC (EIGÂ), Announcement: FORM 8.5 (EPT/NON-RI) - EI GROUP PLC, Movement: N/A
Company: BARCLAYS PLC (JE.), Announcement: Form 8.3 - JUST EAT PLC, Movement: N/A
Company: BARCLAYS PLC (JE.), Announcement: Form 8.3 - JUST EAT PLC, Movement: N/A
Company: BARCLAYS PLC (NTG), Announcement: FORM 8.5 (EPT/NON-RI) - NORTHGATE PLC, Movement: N/A
Company: BARCLAYS PLC (NTG), Announcement: FORM 8.5 (EPT/NON-RI) - NORTHGATE PLC, Movement: N/A
Company: BARCLAYS PLC (REDD), Announcement: FORM 8.5 (EPT/NON-RI) - REDDE PLC, Movement: N/A
Company: BARCLAYS PLC (SOPH), Announcement: Form 8.3 - SOPHOS GROUP PLC, Movement: N/A
Company: BARCLAYS PLC (SOPH), Announcement: FORM 8.3 - SOPHOS GROUP PLC, Movement: N/A
Company: Baronsmead Second VT (BMD), Announcement: Total Voting Rights, Movement: N/A
Company: Baronsmead Venture (BVT), Announcement: Total Voting Rights, Movement: N/A
Company: Barr(A.G.) PLC (BAG), Announcement: Transaction in Own Shares, Movement: N/A
Company: Barratt Developments (BDEV), Announcement: Total Voting Rights, Movement: N/A
Company: Barrick Gold Corp (0R22), Announcement: Post offer intention statement, Movement: N/A
Company: Bastei Lübbe AG, Announcement: Correction of a release from 02/01/2020 according to Article 40, Section 1 of the WpHG [the German Securities Trading Act] with the objective of Europe-wide distribution, Movement: N/A
Company: Bayer Aktiengesellschaft, Announcement: Release according to Article 40, Section 1 of the WpHG [the German Securities Trading Act] with the objective of Europe-wide distribution, Movement: N/A
Company: Beazley PLC (BEZ), Announcement: Total Voting Rights, Movement: N/A
Company: Bellway PLC (BWY), Announcement: Total Voting Rights, Movement: N/A
Company: Berkeley Grp Hlds (BKG), Announcement: Total Voting Rights, Movement: N/A
Company: BH Global Limited (BHGG), Announcement: Transparency Report, Movement: N/A
Company: BH Macro Limited (BHMG), Announcement: Transparency Report, Movement: N/A
Company: BH Macro Limited (BHMG), Announcement: Conversion of Securities, Movement: N/A
Company: BIOPAC Systems, Inc., Announcement: New Eye Tracking Glasses Bring Real-world Data to Academic Research, Movement: N/A
Company: Biotech Grw Tst PLC (BIOG), Announcement: Total Voting Rights, Movement: N/A
Company: BkofA Merrill Lynch, Announcement: Form 8.3 - Ei Group plc, Movement: N/A
Company: BkofA Merrill Lynch, Announcement: Form 8.5 (EPT/RI), Movement: N/A
Company: BkofA Merrill Lynch, Announcement: Form 38.5 (a) - Allergan PLC, Movement: N/A
Company: BkofA Merrill Lynch, Announcement: Form 8.5 (EPT/NON-RI), Movement: N/A
Company: BkofA Merrill Lynch, Announcement: Form 8.5 (EPT/RI), Movement: N/A
Company: BkofA Merrill Lynch, Announcement: Form 8.5 (EPT/NON-RI), Movement: N/A
Company: BkofA Merrill Lynch, Announcement: Form 38.5 (b) - Allergan PLC, Movement: N/A
Company: BkofA Merrill Lynch, Announcement: Form 38.5 (b) - Allergan PLC, Movement: N/A
Company: BkofA Merrill Lynch, Announcement: Form 38.5 (a) - Allergan PLC, Movement: N/A
Company: BkofA Merrill Lynch, Announcement: Form 8.5 (EPT/NON-RI), Movement: N/A
Company: BkofA Merrill Lynch, Announcement: Form 38.5 (b) - AbbVie Inc, Movement: N/A
Company: BkofA Merrill Lynch, Announcement: Form 38.5 (b) - AbbVie Inc, Movement: N/A
Company: BkofA Merrill Lynch, Announcement: Form 8.5 (EPT/RI), Movement: N/A
Company: BkofA Merrill Lynch, Announcement: Form 8.5 (EPT/RI), Movement: N/A
Company: BL Superstores Fin. (49JD), Announcement: Bond Calculations, Movement: N/A
Company: BlackRock Energy and Resources (BERI), Announcement: Total Voting Rights, Movement: N/A
Company: BlackRock Frontiers (BRFI), Announcement: Issue of Equity, Movement: N/A
Company: BlackRock Frontiers (BRFI), Announcement: Portfolio Update, Movement: N/A
Company: BlackRock Frontiers (BRFI), Announcement: Total Voting Rights, Movement: N/A
Company: BlackRock Group, Announcement: Form 8.3 - Sophos Group PLC, Movement: N/A
Company: BlackRock Group, Announcement: Form 8.3 - Redde plc, Movement: N/A
Company: BlackRock Group, Announcement: Form 8.3 - Just Eat plc, Movement: N/A
Company: BlackRock Group, Announcement: Form 8.3 - Endeavour Mining Corp, Movement: N/A
Company: BlackRock Group, Announcement: Form 8.3 - Centamin plc, Movement: N/A
Company: BlackRock Group, Announcement: Form 8.3 - Allergan PLC, Movement: N/A
Company: BlackRock Group, Announcement: Form 8.3 - AbbVie Inc., Movement: N/A
Company: BlackRock Grtr Eur (BRGE), Announcement: Total Voting Rights, Movement: N/A
Company: BlackRock Income (BRIG), Announcement: Total Voting Rights, Movement: N/A
Company: BlackRock Latin Am (BRLA), Announcement: Total Voting Rights, Movement: N/A
Company: BlackRock Latin Am (BRLA), Announcement: Dividend Declaration, Movement: N/A
Company: BlackRock North Amer (BRNA), Announcement: Total Voting Rights, Movement: N/A
Company: BlackRock Smll Cos (BRSC), Announcement: Total Voting Rights, Movement: N/A
Company: BlackRock Throg Tst (THRG), Announcement: Total Voting Rights, Movement: N/A
Company: BlackRock World Mng (BRWM), Announcement: Total Voting Rights, Movement: N/A
Company: Bluefield Solar Inco (BSIF), Announcement: Total Voting Rights, Movement: N/A
Company: BMO Cap & Inc InvTst (BCI), Announcement: Block listing Interim Review, Movement: N/A
Company: BMO Cap & Inc InvTst (BCI), Announcement: Total Voting Rights, Movement: N/A
Company: BMO Capital Markets, Announcement: Form 8.5 (EPT/NON-RI), Movement: N/A
Company: BMO Global Smlr Cos (BGSC), Announcement: Block listing Interim Review, Movement: N/A
Company: BMO Global Smlr Cos (BGSC), Announcement: Total Voting Rights, Movement: N/A
Company: BMO Mgd Ptfo Tst PLC (BMPG), Announcement: Issue of Equity, Movement: N/A
Company: BMO Mgd Ptfo Tst PLC (BMPG), Announcement: Total Voting Rights, Movement: N/A
Company: BMO Mgd Ptfo Tst. (BMPI), Announcement: Issue of Equity, Movement: N/A
Company: BMO Mgd Ptfo Tst. (BMPI), Announcement: Total Voting Rights, Movement: N/A
Company: BMO Real Estate Investments Lt (BREI), Announcement: Block listing Six Monthly Return, Movement: N/A
Company: BP PLC (BP.), Announcement: Total Voting Rights, Movement: N/A
Company: Brewin Dolphin Hldgs (BRW), Announcement: Total Voting Rights, Movement: N/A
Company: British Am. Tobacco (BATS), Announcement: Block listing Interim Review, Movement: N/A
Company: British Am. Tobacco (BATS), Announcement: Total Voting Rights, Movement: N/A
Company: Britvic plc (BVIC), Announcement: Total Voting Rights, Movement: N/A
Company: Broadgate Financing (85QW), Announcement: Bond Calculations, Movement: N/A
Company: Bunzl PLC (BNZL), Announcement: Total Voting Rights, Movement: N/A
Company: Burberry Group PLC (BRBY), Announcement: Total Voting Rights, Movement: N/A
Company: Burberry Group PLC (BRBY), Announcement: Transaction in Own Shares, Movement: N/A
Company: CADOGAN Sq CLO II BV (IRSH), Announcement: Delisting Notice, Movement: N/A
Company: Cadogan Sq CLO III (IRSH), Announcement: Delisting Notice, Movement: N/A
Company: Cadogan SquareCLO IV (IRSH), Announcement: Delisting Notice, Movement: N/A
Company: Cairn Homes plc (CRN), Announcement: Transaction in Own Shares, Movement: N/A
Company: Caledonia Inv PLC (CLDN), Announcement: Block listing Interim Review, Movement: N/A
Company: CantorFitzgeraldEuro, Announcement: Form 8.5 (EPT/RI), Movement: N/A
Company: Capita PLC (CPI), Announcement: Blocklisting - Interim Review, Movement: N/A
Company: Capita PLC (CPI), Announcement: Total Voting Rights, Movement: N/A
Company: Capital & Regional (CAL), Announcement: Director Shareholding, Movement: N/A
Company: Capital Gearing Tst (CGT), Announcement: Issue of Equity, Movement: N/A
Company: Capital Gearing Tst (CGT), Announcement: Total Voting Rights, Movement: N/A
Company: Carclo plc (CAR), Announcement: Suspension of share listing, Movement: N/A
Company: Carlson Cap L.P. (0RJE), Announcement: Form 8.3 - Takeaway.com N.V., Movement: N/A
Company: Carlson Cap L.P. (JE.), Announcement: Form 8.3 - Just Eat plc, Movement: N/A
Company: Cat Rock Capital Mgt, Announcement: Form 8.3 - Takeaway.com N.V., Movement: N/A
Company: Charles Taylor (CTR), Announcement: Total Voting Rights, Movement: N/A
Company: Chenavari Toro IncFd (TORO), Announcement: Factsheet Available - November 2019, Movement: N/A
Company: Citadel Group, Announcement: Form 8.3 - Takeaway.com N.V., Movement: N/A
Company: Citadel Group, Announcement: Form 8.3 - Just Eat plc, Movement: N/A
Company: Citadel Group, Announcement: Form 8.3 - Endeavour Mining Corporation, Movement: N/A
Company: Citadel Group, Announcement: Form 8.3 - Centamin plc, Movement: N/A
Company: Citadel Group, Announcement: Form 8.3 - Allergan plc, Movement: N/A
Company: Citigroup Global Mkt, Announcement: Form 8.5 (EPT/RI), Movement: N/A
Company: City Merchants HYT (CMHY), Announcement: Issue of Equity, Movement: N/A
Company: City Merchants HYT (CMHY), Announcement: Statement re Inside Information, Movement: N/A
Company: City of London IT (CTY), Announcement: Total Voting Rights, Movement: N/A
Company: Civitas Soc Hous PLC (CSH), Announcement: Total Voting Rights, Movement: N/A
Company: Clarkson PLC (CKN), Announcement: Total Voting Rights, Movement: N/A
Company: Cleantech Building Materials, Announcement: Cleantech Building Materials: Grant of Option, Movement: N/A
Company: Coats Group PLC (COA), Announcement: Total Voting Rights, Movement: N/A
Company: Cobham PLC (COB), Announcement: Block listing Interim Review, Movement: N/A
Company: Coca-Cola Euro Ptrns (CCEP), Announcement: Total Voting Rights, Movement: N/A
Company: Codemasters Grp Hldg (CDM), Announcement: Total Voting Rights, Movement: N/A
Company: Compass Group PLC (CPG), Announcement: Total Voting Rights, Movement: N/A
Company: Competition and Mkts, Announcement: Merger Update: Platinum/Wesco, Movement: N/A
Company: Cora Gold Limited (CORA), Announcement: Directorate Change, Movement: N/A
Company: Costain Group PLC (COST), Announcement: Block listing Six Monthly Return, Movement: N/A
Company: CQS New City HighYld (NCYF), Announcement: Total Voting Rights, Movement: N/A
Company: Cranswick PLC (CWK), Announcement: Total Voting Rights, Movement: N/A
Company: Craven House Capital (CRV), Announcement: Portfolio and NAV update, Movement: N/A
Company: Credit Industriel (60JJ), Announcement: Form 8.3 - Takeaway.com N.V., Movement: N/A
Company: Credit Industriel (60JJ), Announcement: Form 8.3 - Just Eat plc, Movement: N/A
Company: Credit Suisse (Eur), Announcement: Form 8.5 (EPT/NON-RI) Cobham plc, Movement: N/A
Company: Credit Suisse (Eur), Announcement: Form 8.5 (EPT/RI) Cobham plc, Movement: N/A
Company: CRH PLC (CRH), Announcement: CRH Chairman Transition and Board Retirement, Movement: N/A
Company: Crystal Amber Fund (CRS), Announcement: Total Voting Rights, Movement: N/A
Company: CVC Credit Partners (CCPG), Announcement: March 2020 Tender - Quarterly Restriction, Movement: N/A
Company: CVS Group plc (CVSG), Announcement: Holding(s) in Company, Movement: N/A
Company: D E Shaw & Co LP, Announcement: Form 8.3 - Allergan plc, Movement: N/A
Company: Datang Intnl Pwr Gen (DAT), Announcement: Performance of Guarantee Obligations Announcement, Movement: N/A
Company: DB ETC Index PLC, Announcement: Value per Security of ETC Securities Announcement, Movement: N/A
Company: DB ETC Index PLC, Announcement: Buy-Back of Securities, Movement: N/A
Company: DB ETC Index PLC, Announcement: Value per Security, Movement: N/A
Company: DB ETC plc, Announcement: Value per Security of ETC Securities, Movement: N/A
Company: DB ETC plc, Announcement: Issuance of Securities, Movement: N/A
Company: DB ETC plc, Announcement: Value per Security, Movement: N/A
Company: DB ETC plc, Announcement: Issuance of Securities, Movement: N/A
Company: DB ETC plc (OXA2), Announcement: Buy-Back of Securities, Movement: N/A
Company: dbinvestor Sol 2 (IRSH), Announcement: Election of Home Member State, Movement: N/A
Company: dbinvestor Solutions (IRSH), Announcement: Election of Home Member State, Movement: N/A
Company: De La Rue PLC (DLAR), Announcement: Block listing Interim Review, Movement: N/A
Company: De La Rue PLC (DLAR), Announcement: Total Voting Rights, Movement: N/A
Company: DECO 2014-Tulip DAC (IRSH), Announcement: Election of Home Member State, Movement: N/A
Company: Deco 2015-HARP DAC (IRSH), Announcement: Election of Home Member State, Movement: N/A
Company: Deco 7 - Pan Europe (IRSH), Announcement: Election of Home Member State, Movement: N/A
Company: Deco 9-Pan Europe 3 (IRSH), Announcement: Election of Home Member State, Movement: N/A
Company: Defenx plc (DFX), Announcement: Notification of Interest re Exit Opportunity, Movement: N/A
Company: Dekania Eur CDO III (IRSH), Announcement: Election of Home Member State, Movement: N/A
Company: Deutsche Bank AG (0H7D), Announcement: Form 8.5 (EPT/RI) Ei Group plc, Movement: N/A
Company: Deutsche Lufthansa AG, Announcement: Release according to Article 40, Section 1 of the WpHG [the German Securities Trading Act] with the objective of Europe-wide distribution, Movement: N/A
Company: Deutsche Lufthansa AG, Announcement: Release according to Article 40, Section 1 of the WpHG [the German Securities Trading Act] with the objective of Europe-wide distribution, Movement: N/A
Company: DFS Furniture PLC (DFS), Announcement: Transaction in Own Shares, Movement: N/A
Company: DFS Furniture PLC (DFS), Announcement: Total Voting Rights, Movement: N/A
Company: Diageo PLC (DGE), Announcement: Block listing Interim Review, Movement: N/A
Company: Diageo PLC (DGE), Announcement: Total Voting Rights, Movement: N/A
Company: Direct Line Ins Grp (DLG), Announcement: Total Voting Rights, Movement: N/A
Company: Distil PLC (DIS), Announcement: Holding(s) in Company, Movement: N/A
Company: Diversified Gas &Oil (DGOC), Announcement: Transaction in Own Shares, Movement: N/A
Company: Diversified Gas &Oil (DGOC), Announcement: Transaction in Own Shares, Movement: N/A
Company: Dixons Carphone PLC (DC.), Announcement: Total Voting Rights, Movement: N/A
Company: DNO ASA, Announcement: DNO ASA: Mandatory Notification of Trade, Movement: N/A
Company: Domino's Pizza Grp (DOM), Announcement: Total Voting Rights, Movement: N/A
Company: Downing One VCT Plc (DDV1), Announcement: Total voting rights, Movement: N/A
Company: Dozens Savings PLC (DS01), Announcement: Admission to NEX Exchange Growth Market, Movement: N/A
Company: Drax Group Plc (DRX), Announcement: Total Voting Rights, Movement: N/A
Company: Dunelm Group plc (DNLM), Announcement: Holding(s) in Company, Movement: N/A
Company: DWF Group PLC (DWF), Announcement: Total Voting Rights, Movement: N/A
Company: e-Therapeutics plc (ETX), Announcement: Director/PDMR Shareholding, Movement: N/A
Company: Ebiquity PLC (EBQ), Announcement: Holding(s) in Company, Movement: N/A
Company: EBRD (60UO), Announcement: Early Redemption(s), Movement: N/A
Company: EcoVista PLC (EVTP), Announcement: Suspension of Trading, Movement: N/A
Company: EcoVista PLC (EVTP), Announcement: Resignation Corporate Adviser, Movement: N/A
Company: Edentree InvMg Ld, Announcement: Form 8.3 - Harwood Wealth Management PLC, Movement: N/A
Company: Ei Group plc (EIG), Announcement: Holding(s) in Company, Movement: N/A
Company: Ei Group plc (EIG), Announcement: Holding(s) in Company, Movement: N/A
Company: Eirles Two DAC (IRSH), Announcement: Election of Home Member State, Movement: N/A
Company: Electrocomponents (ECM), Announcement: Total Voting Rights, Movement: N/A
Company: Elementis PLC (ELM), Announcement: Total Voting Rights, Movement: N/A
Company: Elenia Finance Oyj (91VA), Announcement: Change of the Managing Director of Elenia Palvelut, Movement: N/A
Company: EnTrust Permal Abslt (IRSH), Announcement: Annual Report 31.07.2019, Movement: N/A
Company: EP Global Opps Tst (EPG), Announcement: Total Voting Rights, Movement: N/A
Company: EQTEC PLC (EQT), Announcement: North Fork Project Financial Close, Movement: N/A
Company: Ergomed plc (ERGO), Announcement: Total Voting Rights & Block Listing Return, Movement: N/A
Company: Escher Marwick PLC (IRSH), Announcement: Escher Marwick Plc Coupon Announcement, Movement: N/A
Company: Essentra plc (ESNT), Announcement: Total Voting Rights, Movement: N/A
Company: Euromax V Abs PLC (IRSH), Announcement: Election of Home Member State, Movement: N/A
Company: Euromax VI ABS DAC (IRSH), Announcement: Election of Home Member State, Movement: N/A
Company: Euronext Dublin, Announcement: Euronext Dublin Market Notice, Movement: N/A
Company: Euronext Dublin, Announcement: GEM Notice, Movement: N/A
Company: Euronext Dublin, Announcement: GEM Notice, Movement: N/A
Company: Euronext Dublin, Announcement: Euronext Dublin Market Notice, Movement: N/A
Company: Euronext Dublin, Announcement: GEM Cancellation Notice, Movement: N/A
Company: Euronext Dublin, Announcement: Euronext Dublin Market Cancellation Notice, Movement: N/A
Company: Euronext Dublin, Announcement: Euronext Dublin Market Cancellation Notice, Movement: N/A
Company: Euronext Dublin, Announcement: Euronext Dublin Market Cancellation Notice, Movement: N/A
Company: Euronext Dublin, Announcement: Euronext Dublin Market Cancellation Notice, Movement: N/A
Company: Euronext Dublin, Announcement: Euronext Dublin Market Cancellation Notice, Movement: N/A
Company: Euronext Dublin, Announcement: Euronext Dublin Market Notice, Movement: N/A
Company: Euronext Dublin, Announcement: Euronext Dublin Market Notice, Movement: N/A
